Date,Revenue_USD
2024-01-01,13.68
2024-01-02,10.65
2024-01-03,8.04
2024-01-04,13.13
2024-01-05,10.15
2024-01-06,12.75
2024-01-07,10.66
2024-01-08,12.91
2024-01-09,11.58
2024-01-10,13.84
2024-01-11,11.39
2024-01-12,12.06
2024-01-13,10.15
2024-01-14,13.67
2024-01-15,10.51
2024-01-16,11.75
2024-01-17,13.06
2024-01-18,12.33
2024-01-19,10.49
2024-01-20,11.71
2024-01-21,11.23
2024-01-22,11.69
2024-01-23,12.18
2024-01-24,10.02
2024-01-25,10.42
2024-01-26,12.55
2024-01-27,11.66
2024-01-28,12.98
2024-01-29,12.94
2024-01-30,13.43
2024-01-31,10.47
2024-02-01,11.26
2024-02-02,10.74
2024-02-03,13.11
2024-02-04,12.24
2024-02-05,11.19
2024-02-06,10.57
2024-02-07,13.29
2024-02-08,10.01
2024-02-09,10.13
2024-02-10,12.03
2024-02-11,10.99
2024-02-12,13.88
2024-02-13,11.35
2024-02-14,12.44
2024-02-15,12.35
2024-02-16,12.52
2024-02-17,11.76
2024-02-18,10.28
2024-02-19,12.11
2024-02-20,11.45
2024-02-21,11.83
2024-02-22,12.03
2024-02-23,10.88
2024-02-24,11.64
2024-02-25,12.13
2024-02-26,10.97
2024-02-27,12.17
2024-02-28,10.44
2024-02-29,13.56
2024-03-01,11.29
2024-03-02,12.39
2024-03-03,12.05
2024-03-04,12.83
2024-03-05,10.46
2024-03-06,12.32
2024-03-07,13.37
2024-03-08,13.87
2024-03-09,12.03
2024-03-10,12.42
2024-03-11,10.07
2024-03-12,12.33
2024-03-13,10.96
2024-03-14,13.66
2024-03-15,10.42
2024-03-16,10.98
2024-03-17,12.43
2024-03-18,12.35
2024-03-19,10.36
2024-03-20,13.33
2024-03-21,12.43
2024-03-22,12.28
2024-03-23,10.61
2024-03-24,12.63
2024-03-25,10.6
2024-03-26,10.8
2024-03-27,10.33
2024-03-28,10.48
2024-03-29,10.51
2024-03-30,12.17
2024-03-31,10.41
2024-04-01,11.27
2024-04-02,12.83
2024-04-03,10.38
2024-04-04,10.22
2024-04-05,11.38
2024-04-06,10.66
2024-04-07,10.49
2024-04-08,12.6
2024-04-09,10.43
2024-04-10,13.06
2024-04-11,10.97
2024-04-12,10.51
2024-04-13,11.77
2024-04-14,11.83
2024-04-15,11.81
2024-04-16,11.75
2024-04-17,10.19
2024-04-18,12.82
2024-04-19,10.58
2024-04-20,13.11
2024-04-21,12.01
2024-04-22,11.13
2024-04-23,12.04
2024-04-24,10.74
2024-04-25,10.5
2024-04-26,13.59
2024-04-27,13.05
2024-04-28,10.74
2024-04-29,13.06
2024-04-30,10.71
2024-05-01,11.26
2024-05-02,12.08
2024-05-03,10.42
2024-05-04,12.27
2024-05-05,10.77
2024-05-06,11.71
2024-05-07,11.45
2024-05-08,12.13
2024-05-09,10.17
2024-05-10,12.35
2024-05-11,10.2
2024-05-12,12.03
2024-05-13,12.63
2024-05-14,10.96
2024-05-15,12.98
2024-05-16,11.7
2024-05-17,10.36
2024-05-18,12.07
2024-05-19,10.15
2024-05-20,13.04
2024-05-21,11.39
2024-05-22,12.05
2024-05-23,13.07
2024-05-24,10.23
2024-05-25,13.62
2024-05-26,12.31
2024-05-27,11.83
2024-05-28,11.33
2024-05-29,10.4
2024-05-30,10.74
2024-05-31,10.51
2024-06-01,13.03
2024-06-02,10.75
2024-06-03,11.05
2024-06-04,10.48
2024-06-05,10.44
2024-06-06,10.12
2024-06-07,12.7
2024-06-08,12.21
2024-06-09,10.87
2024-06-10,12.87
2024-06-11,10.36
2024-06-12,12.35
2024-06-13,10.9
2024-06-14,13.51
2024-06-15,10.42
2024-06-16,11.51
2024-06-17,12.72
2024-06-18,11.96
2024-06-19,10.51
2024-06-20,10.28
2024-06-21,11.85
2024-06-22,10.49
2024-06-23,10.54
2024-06-24,11.16
2024-06-25,13.69
2024-06-26,11.81
2024-06-27,10.37
2024-06-28,12.34
2024-06-29,12.39
2024-06-30,10.38